id,title,url,headline,instructor,rating,num_reviews,num_subscribers,num_lectures,content_length,level,is_paid,last_update,published_time,image,topic
6757979,A deep understanding of AI large language model mechanisms,https://www.udemy.com/course/dullms_x/,Build and train LLM NLP transformers and attention mechanisms (PyTorch). Explore with mechanistic interpretability tools,Mike X Cohen,4.8246255,790,10976,329,91 hours,All Levels,True,2026-02-28,2025-08-12T06:42:15Z,https://img-c.udemycdn.com/course/240x135/6757979_4837_2.jpg,deep-learning
1178124,Complete C# Unity 3D Game Development in Unity 6,https://www.udemy.com/course/unitycourse2/,Build 5 playable 3D games in Unity 6 using C#. Learn real coding skills and master core game dev techniques.,Rick Davidson,4.693416,47987,252222,192,27 hours,All Levels,True,2026-02-19,2017-09-27T16:03:29Z,https://img-c.udemycdn.com/course/240x135/1178124_76bb_13.jpg,unity
258316,Complete C# Unity 2D Game Development (Updated To Unity 6),https://www.udemy.com/course/unitycourse/,Build 4 playable 2D games in Unity 6 using C#. Learn real coding skills and master game dev fundamentals.,GameDev.tv Team,4.7495427,107654,488850,132,17.5 hours,All Levels,True,2026-02-19,2014-09-03T19:30:05Z,https://img-c.udemycdn.com/course/240x135/258316_55e9_13.jpg,unity
5927092,The Complete Guide to Unity 2D : Platformer Development,https://www.udemy.com/course/platformer-alexdev/,Level up your C# and Unity knowledge and create your very own 2D Platformer with local multiplayer.,Unity Alex Dev,4.8907304,488,3137,119,24.5 hours,Beginner,True,2026-01-25,2024-05-29T07:27:01Z,https://img-c.udemycdn.com/course/240x135/5927092_552c.jpg,unity
5059176,The Ultimate Guide to Creating an RPG Game in Unity 6,https://www.udemy.com/course/2d-rpg-alexdev/,Level up your  C# and Unity knowledge and create your very own RPG game.,Unity Alex Dev,4.7749553,3727,23595,203,60.5 hours,All Levels,True,2025-09-05,2023-03-23T05:12:26Z,https://img-c.udemycdn.com/course/240x135/5059176_3a43_2.jpg,unity
5455934,The Complete Guide to Unity 3D : Making a Top Down Shooter,https://www.udemy.com/course/3d-tds-alexdev/,Level up your C# and Unity knowledge and create your very own Action-Shooter.,Unity Alex Dev,4.7084804,738,5997,260,55 hours,All Levels,True,2026-01-15,2024-02-05T15:46:08Z,https://img-c.udemycdn.com/course/240x135/5455934_cb5b_4.jpg,unity
2719674,Learn Unity Shaders from Scratch,https://www.udemy.com/course/learn-unity-shaders-from-scratch/,"A complete guide to Unity ShaderLab, URP Shaders, Shader Graph and the HLSL Shading Language using Unity 6",Nicholas Lever,4.510179,556,13126,70,6 hours,All Levels,True,2025-05-02,2020-05-04T00:49:15Z,https://img-c.udemycdn.com/course/240x135/2719674_f8fc_5.jpg,unity
1318732,Visual Effects for Games in Unity - Beginner To Intermediate,https://www.udemy.com/course/vfx-for-games-in-unity-beginner-to-intermediate/,By the end of this course you will have started your own portfolio as a Triple-A Visual Effects artist for Games.,Gabriel Aguiar,4.4663296,3704,21103,59,6 hours,Beginner,True,2019-12-01,2019-07-25T14:31:13Z,https://img-c.udemycdn.com/course/240x135/1318732_86ee_3.jpg,unity
1349250,The Beginner's Guide to Games AI with Unity 6.2+,https://www.udemy.com/course/artificial-intelligence-in-unity/,A practical guide to programming non-player characters for games in the Unity Game Engine with C#,Penny de Byl,4.533047,2842,45047,183,31 hours,Beginner,True,2026-02-10,2017-10-17T20:45:14Z,https://img-c.udemycdn.com/course/240x135/1349250_c17d_3.jpg,unity
4693434,Your Ultimate Guide to Shader Graph for Beginners,https://www.udemy.com/course/shader-graph/,Learn the ins and outs of the Unity Engine's Visual Shader Programming Tool for Non-Programmers,Penny de Byl,4.66456,648,6431,88,14.5 hours,Beginner,True,2022-11-14,2022-09-16T06:42:16Z,https://img-c.udemycdn.com/course/240x135/4693434_e4b0_4.jpg,unity
